date,state,prison_name,prison_population,male_prisoners,female_prisoners,young_prisoners,middle_prisoners,old_prisoners,drug_crimes,violent_crimes,property_crimes,other_crimes
2020-02-29,Sabah,Kota Kinabalu Women's Prison,1020,0,1020,499,401,120,568,126,159,167
2020-02-29,Sabah,Tawau Prison,1919,1819,100,940,754,225,1070,238,299,312
2020-02-29,Sabah,Sandakan Prison,1438,1363,75,704,565,169,801,178,224,235
2020-02-29,Perak,Taiping Prison,2082,1974,108,1020,818,244,1161,259,324,338
2020-02-29,Perak,Tapah Prison,1457,1381,76,714,572,171,812,181,227,237
2020-02-29,Perak,Kamunting Detention Centre,626,593,33,306,246,74,349,77,97,103
2020-02-29,Kedah,Pokok Sena Prison,917,869,48,449,360,108,511,114,142,150
2020-02-29,Kedah,Sungai Petani Prison,1206,1143,63,591,474,141,672,150,188,196
2020-02-29,Kedah,Alor Star Prison,1000,948,52,490,393,117,557,124,155,164
2020-02-29,Pahang,Bentong Prison,1365,1294,71,669,536,160,761,169,212,223
2020-02-29,Pahang,Penor Prison,1238,1174,64,606,486,146,690,154,193,201
2020-02-29,Penang,Penang Prison,784,743,41,384,308,92,437,97,122,128
2020-02-29,Penang,Seberang Prai Prison,777,736,41,380,305,92,433,96,121,127
2020-02-29,Melaka,Ayer Keroh Prison,436,413,23,213,171,52,243,54,67,72
2020-02-29,Melaka,Sungai Udang Prison,247,234,13,121,97,29,137,30,38,42
2020-02-29,Melaka,Banda Hilir Prison,358,339,19,175,140,43,199,44,55,60
2020-02-29,Negeri Sembilan,Seremban Prison,390,369,21,191,153,46,217,48,60,65
2020-02-29,Negeri Sembilan,Jelebu Prison,390,369,21,191,153,46,217,48,60,65
2020-02-29,Kelantan,Pengkalan Chepa Prison,260,246,14,127,102,31,144,32,40,44
2020-02-29,Terengganu,Marang Prison,260,246,14,127,102,31,144,32,40,44
2020-03-31,Selangor,Sungai Buloh Prison,8945,8327,618,4175,3497,1273,5247,1544,1127,1027
2020-03-31,Selangor,Kajang Prison,3727,3469,258,1739,1457,531,2186,643,469,429
2020-03-31,Selangor,Kajang Women's Prison,2237,0,2237,1044,874,319,1312,386,282,257
2020-03-31,Sarawak,Puncak Borneo Prison,2121,1974,147,990,829,302,1244,366,267,244
2020-03-31,Sarawak,Sibu Prison,1078,1003,75,503,421,154,632,186,135,125
2020-03-31,Sarawak,Miri Prison,1242,1156,86,579,485,178,728,214,156,144
2020-03-31,Sarawak,Bintulu Prison,1855,1726,129,865,725,265,1088,320,233,214
2020-03-31,Sarawak,Sri Aman Prison,960,893,67,448,375,137,563,165,121,111
2020-03-31,Sarawak,Limbang Prison,2328,2167,161,1086,910,332,1365,402,293,268
2020-03-31,Johor,Simpang Renggam Prison,4005,3728,277,1869,1565,571,2349,691,504,461
2020-03-31,Johor,Kluang Prison,4514,4202,312,2106,1764,644,2648,779,569,518
2020-03-31,Sabah,Kota Kinabalu Prison,1608,1496,112,750,628,230,943,277,202,186
2020-03-31,Sabah,Kota Kinabalu Women's Prison,1603,0,1603,748,626,229,940,276,202,185
2020-03-31,Sabah,Tawau Prison,1631,1518,113,761,637,233,956,281,205,189
2020-03-31,Sabah,Sandakan Prison,1547,1440,107,722,604,221,907,267,195,178
2020-03-31,Perak,Taiping Prison,2129,1981,148,993,832,304,1249,367,268,245
2020-03-31,Perak,Tapah Prison,1490,1387,103,695,582,213,874,257,187,172
2020-03-31,Perak,Kamunting Detention Centre,640,595,45,298,250,92,375,110,80,75
2020-03-31,Kedah,Pokok Sena Prison,929,864,65,433,363,133,545,160,117,107
2020-03-31,Kedah,Sungai Petani Prison,1053,980,73,491,411,151,617,181,132,123
2020-03-31,Kedah,Alor Star Prison,1212,1128,84,565,473,174,711,209,152,140
2020-03-31,Pahang,Bentong Prison,1306,1215,91,609,510,187,766,225,164,151
2020-03-31,Pahang,Penor Prison,1356,1262,94,632,530,194,795,234,170,157
2020-03-31,Penang,Penang Prison,803,747,56,374,313,116,471,138,101,93
2020-03-31,Penang,Seberang Prai Prison,794,739,55,370,310,114,465,137,100,92
2020-03-31,Melaka,Ayer Keroh Prison,320,297,23,149,125,46,187,55,40,38
2020-03-31,Melaka,Sungai Udang Prison,395,367,28,184,154,57,231,68,49,47
2020-03-31,Melaka,Banda Hilir Prison,349,324,25,162,136,51,204,60,44,41
2020-03-31,Negeri Sembilan,Seremban Prison,375,349,26,175,146,54,220,64,47,44
2020-03-31,Negeri Sembilan,Jelebu Prison,423,393,30,197,165,61,248,73,53,49
2020-03-31,Kelantan,Pengkalan Chepa Prison,266,247,19,124,103,39,156,45,33,32
2020-03-31,Terengganu,Marang Prison,266,247,19,124,103,39,156,45,33,32
2020-04-30,Selangor,Sungai Buloh Prison,9136,8547,589,4342,3535,1259,5149,1477,1372,1138
2020-04-30,Selangor,Kajang Prison,3807,3561,246,1809,1473,525,2145,615,571,476
2020-04-30,Selangor,Kajang Women's Prison,2285,0,2285,1086,884,315,1288,369,343,285
2020-04-30,Sarawak,Puncak Borneo Prison,1244,1163,81,591,481,172,701,201,186,156
2020-04-30,Sarawak,Sibu Prison,2140,2002,138,1017,828,295,1206,346,321,267
2020-04-30,Sarawak,Miri Prison,1090,1019,71,518,421,151,614,176,163,137
2020-04-30,Sarawak,Bintulu Prison,1526,1427,99,725,590,211,860,246,229,191
2020-04-30,Sarawak,Sri Aman Prison,2032,1901,131,965,786,281,1145,328,305,254
2020-04-30,Sarawak,Limbang Prison,1757,1643,114,835,679,243,990,284,263,220
2020-04-30,Johor,Simpang Renggam Prison,5398,5050,348,2566,2088,744,3042,873,811,672
2020-04-30,Johor,Kluang Prison,3304,3091,213,1570,1278,456,1862,534,496,412
2020-04-30,Sabah,Kota Kinabalu Prison,1699,1589,110,807,657,235,957,274,255,213
2020-04-30,Sabah,Kota Kinabalu Women's Prison,1684,0,1684,800,651,233,949,272,253,210
2020-04-30,Sabah,Tawau Prison,1818,1700,118,864,703,251,1024,294,273,227
2020-04-30,Sabah,Sandakan Prison,1325,1239,86,629,512,184,746,214,199,166
2020-04-30,Perak,Taiping Prison,2175,2034,141,1033,841,301,1226,351,326,272
2020-04-30,Perak,Tapah Prison,1522,1423,99,723,588,211,857,246,228,191
2020-04-30,Perak,Kamunting Detention Centre,654,611,43,310,253,91,368,105,98,83
2020-04-30,Kedah,Pokok Sena Prison,876,819,57,416,338,122,493,141,131,111
2020-04-30,Kedah,Sungai Petani Prison,1128,1055,73,536,436,156,635,182,169,142
2020-04-30,Kedah,Alor Star Prison,1259,1177,82,598,487,174,709,203,189,158
2020-04-30,Pahang,Bentong Prison,1374,1285,89,653,531,190,774,222,206,172
2020-04-30,Pahang,Penor Prison,1345,1258,87,639,520,186,758,217,202,168
2020-04-30,Penang,Penang Prison,797,745,52,378,308,111,449,128,119,101
2020-04-30,Penang,Seberang Prai Prison,834,780,54,396,322,116,470,134,125,105
2020-04-30,Melaka,Ayer Keroh Prison,317,296,21,150,122,45,178,51,47,41
2020-04-30,Melaka,Sungai Udang Prison,362,338,24,172,140,50,204,58,54,46
2020-04-30,Melaka,Banda Hilir Prison,408,381,27,193,157,58,229,65,61,53
2020-04-30,Negeri Sembilan,Seremban Prison,380,355,25,180,147,53,214,61,57,48
2020-04-30,Negeri Sembilan,Jelebu Prison,435,406,29,206,168,61,245,70,65,55
2020-04-30,Kelantan,Pengkalan Chepa Prison,271,253,18,128,104,39,152,43,40,36
2020-04-30,Terengganu,Marang Prison,271,253,18,128,104,39,152,43,40,36
2020-05-31,Selangor,Sungai Buloh Prison,9049,8353,696,4020,3549,1480,5039,1389,1263,1358
2020-05-31,Selangor,Kajang Prison,3770,3480,290,1674,1478,618,2099,578,526,567
2020-05-31,Selangor,Kajang Women's Prison,2264,0,2264,1005,888,371,1260,347,316,341
2020-05-31,Sarawak,Puncak Borneo Prison,1852,1709,143,822,726,304,1031,284,258,279
2020-05-31,Sarawak,Sibu Prison,890,821,69,395,349,146,495,136,124,135
2020-05-31,Sarawak,Miri Prison,2164,1997,167,961,848,355,1205,332,302,325
2020-05-31,Sarawak,Bintulu Prison,1174,1083,91,521,460,193,653,180,163,178
2020-05-31,Sarawak,Sri Aman Prison,1867,1723,144,829,732,306,1039,286,260,282
2020-05-31,Sarawak,Limbang Prison,1749,1614,135,777,686,286,974,268,244,263
2020-05-31,Johor,Simpang Renggam Prison,3892,3592,300,1729,1526,637,2167,597,543,585
2020-05-31,Johor,Kluang Prison,4727,4363,364,2100,1854,773,2632,725,660,710
2020-05-31,Sabah,Kota Kinabalu Prison,1820,1680,140,808,713,299,1013,279,254,274
2020-05-31,Sabah,Kota Kinabalu Women's Prison,1284,0,1284,570,503,211,715,197,179,193
2020-05-31,Sabah,Tawau Prison,1487,1372,115,660,583,244,828,228,207,224
2020-05-31,Sabah,Sandakan Prison,1873,1728,145,832,734,307,1043,287,261,282
2020-05-31,Perak,Taiping Prison,2154,1988,166,956,845,353,1199,330,300,325
2020-05-31,Perak,Tapah Prison,1508,1392,116,669,591,248,839,231,210,228
2020-05-31,Perak,Kamunting Detention Centre,647,597,50,287,253,107,360,99,90,98
2020-05-31,Kedah,Pokok Sena Prison,914,843,71,406,358,150,508,140,127,139
2020-05-31,Kedah,Sungai Petani Prison,1033,953,80,458,405,170,575,158,144,156
2020-05-31,Kedah,Alor Star Prison,1285,1186,99,570,504,211,715,197,179,194
2020-05-31,Pahang,Bentong Prison,1370,1264,106,608,537,225,762,210,191,207
2020-05-31,Pahang,Penor Prison,1323,1221,102,587,519,217,736,203,184,200
2020-05-31,Penang,Penang Prison,782,721,61,347,306,129,435,120,109,118
2020-05-31,Penang,Seberang Prai Prison,834,769,65,370,327,137,464,128,116,126
2020-05-31,Melaka,Ayer Keroh Prison,269,248,21,119,105,45,149,41,37,42
2020-05-31,Melaka,Sungai Udang Prison,372,343,29,165,145,62,207,57,51,57
2020-05-31,Melaka,Banda Hilir Prison,436,402,34,193,171,72,242,66,60,68
2020-05-31,Negeri Sembilan,Seremban Prison,386,356,30,171,151,64,214,59,53,60
2020-05-31,Negeri Sembilan,Jelebu Prison,422,389,33,187,165,70,235,64,58,65
2020-05-31,Kelantan,Pengkalan Chepa Prison,269,248,21,119,105,45,149,41,37,42
2020-05-31,Terengganu,Marang Prison,269,248,21,119,105,45,149,41,37,42
2020-06-30,Selangor,Sungai Buloh Prison,9009,8583,426,4539,3368,1102,5209,1299,1395,1106
2020-06-30,Selangor,Kajang Prison,3753,3575,178,1890,1403,460,2170,541,581,461
2020-06-30,Selangor,Kajang Women's Prison,2253,0,2253,1135,842,276,1302,325,348,278
2020-06-30,Sarawak,Puncak Borneo Prison,1476,1406,70,743,551,182,853,212,228,183
2020-06-30,Sarawak,Sibu Prison,1132,1078,54,570,423,139,654,163,175,140
2020-06-30,Sarawak,Miri Prison,1731,1649,82,872,647,212,1001,249,268,213
2020-06-30,Sarawak,Bintulu Prison,1795,1710,85,904,671,220,1038,258,278,221
2020-06-30,Sarawak,Sri Aman Prison,2253,2146,107,1135,842,276,1302,325,348,278
2020-06-30,Sarawak,Limbang Prison,1265,1205,60,637,472,156,731,182,195,157
2020-06-30,Johor,Simpang Renggam Prison,4593,4375,218,2314,1717,562,2656,662,711,564
2020-06-30,Johor,Kluang Prison,3987,3798,189,2008,1490,489,2305,575,617,490
2020-06-30,Sabah,Kota Kinabalu Prison,1398,1331,67,704,522,172,808,201,216,173
2020-06-30,Sabah,Kota Kinabalu Women's Prison,1996,0,1996,1005,746,245,1154,287,309,246
2020-06-30,Sabah,Tawau Prison,1279,1218,61,644,478,157,739,184,198,158
2020-06-30,Sabah,Sandakan Prison,1762,1678,84,887,658,217,1018,254,272,218
2020-06-30,Perak,Taiping Prison,2145,2043,102,1080,801,264,1240,309,332,264
2020-06-30,Perak,Tapah Prison,1501,1430,71,756,561,184,868,216,232,185
2020-06-30,Perak,Kamunting Detention Centre,644,613,31,324,240,80,372,92,99,81
2020-06-30,Kedah,Pokok Sena Prison,1057,1007,50,532,395,130,611,152,163,131
2020-06-30,Kedah,Sungai Petani Prison,979,932,47,493,366,120,566,141,151,121
2020-06-30,Kedah,Alor Star Prison,1181,1125,56,595,441,145,682,170,182,147
2020-06-30,Pahang,Bentong Prison,1401,1334,67,705,523,173,810,202,217,172
2020-06-30,Pahang,Penor Prison,1280,1219,61,644,478,158,740,184,198,158
2020-06-30,Penang,Penang Prison,822,783,39,414,307,101,475,118,127,102
2020-06-30,Penang,Seberang Prai Prison,786,748,38,396,293,97,454,113,121,98
2020-06-30,Melaka,Ayer Keroh Prison,341,324,17,171,127,43,197,49,52,43
2020-06-30,Melaka,Sungai Udang Prison,340,323,17,171,127,42,196,49,52,43
2020-06-30,Melaka,Banda Hilir Prison,391,372,19,197,146,48,226,56,60,49
2020-06-30,Negeri Sembilan,Seremban Prison,376,358,18,189,140,47,217,54,58,47
2020-06-30,Negeri Sembilan,Jelebu Prison,428,407,21,215,160,53,247,61,66,54
2020-06-30,Kelantan,Pengkalan Chepa Prison,268,255,13,135,100,33,154,38,41,35
2020-06-30,Terengganu,Marang Prison,268,255,13,135,100,33,154,38,41,35
2020-07-31,Selangor,Sungai Buloh Prison,8803,8193,610,4215,3568,1020,5104,1345,1184,1170
2020-07-31,Selangor,Kajang Prison,3668,3413,255,1756,1487,425,2127,560,493,488
2020-07-31,Selangor,Kajang Women's Prison,2201,0,2201,1053,892,256,1276,336,296,293
2020-07-31,Sarawak,Puncak Borneo Prison,1033,961,72,494,418,121,599,157,138,139
2020-07-31,Sarawak,Sibu Prison,1478,1375,103,707,599,172,857,225,198,198
2020-07-31,Sarawak,Miri Prison,1033,961,72,494,418,121,599,157,138,139
2020-07-31,Sarawak,Bintulu Prison,2683,2497,186,1284,1087,312,1555,410,360,358
2020-07-31,Sarawak,Sri Aman Prison,1779,1655,124,851,721,207,1031,271,239,238
2020-07-31,Sarawak,Limbang Prison,1426,1327,99,682,578,166,826,217,191,192
2020-07-31,Johor,Simpang Renggam Prison,4420,4113,307,2116,1791,513,2563,675,594,588
2020-07-31,Johor,Kluang Prison,3964,3689,275,1898,1607,459,2298,605,533,528
2020-07-31,Sabah,Kota Kinabalu Prison,1234,1148,86,590,500,144,715,188,166,165
2020-07-31,Sabah,Kota Kinabalu Women's Prison,2024,0,2024,969,820,235,1173,309,272,270
2020-07-31,Sabah,Tawau Prison,1840,1712,128,881,745,214,1066,281,247,246
2020-07-31,Sabah,Sandakan Prison,1190,1107,83,569,482,139,690,181,160,159
2020-07-31,Perak,Taiping Prison,2096,1950,146,1003,849,244,1215,320,282,279
2020-07-31,Perak,Tapah Prison,1467,1365,102,702,594,171,850,224,197,196
2020-07-31,Perak,Kamunting Detention Centre,629,585,44,301,255,73,364,96,84,85
2020-07-31,Kedah,Pokok Sena Prison,1014,943,71,485,411,118,588,154,136,136
2020-07-31,Kedah,Sungai Petani Prison,1001,931,70,479,405,117,580,152,134,135
2020-07-31,Kedah,Alor Star Prison,1129,1050,79,540,457,132,654,172,151,152
2020-07-31,Pahang,Bentong Prison,1322,1230,92,633,535,154,766,202,177,177
2020-07-31,Pahang,Penor Prison,1298,1208,90,621,526,151,752,198,174,174
2020-07-31,Penang,Penang Prison,760,707,53,363,308,89,440,116,102,102
2020-07-31,Penang,Seberang Prai Prison,812,755,57,388,329,95,470,124,109,109
2020-07-31,Melaka,Ayer Keroh Prison,403,375,28,192,163,48,233,61,54,55
2020-07-31,Melaka,Sungai Udang Prison,347,322,25,166,140,41,201,53,46,47
2020-07-31,Melaka,Banda Hilir Prison,298,277,21,142,120,36,172,45,40,41
2020-07-31,Negeri Sembilan,Seremban Prison,375,349,26,179,152,44,217,57,50,51
2020-07-31,Negeri Sembilan,Jelebu Prison,411,382,29,196,166,49,238,62,55,56
2020-07-31,Kelantan,Pengkalan Chepa Prison,262,243,19,125,106,31,151,40,35,36
2020-07-31,Terengganu,Marang Prison,262,243,19,125,106,31,151,40,35,36
2020-08-31,Selangor,Sungai Buloh Prison,8709,8211,498,4092,3549,1068,4871,1571,1156,1111
2020-08-31,Selangor,Kajang Prison,3629,3421,208,1705,1478,446,2029,655,481,464
2020-08-31,Selangor,Kajang Women's Prison,2178,0,2178,1023,887,268,1218,393,289,278
2020-08-31,Sarawak,Puncak Borneo Prison,1594,1502,92,748,649,197,891,287,211,205
2020-08-31,Sarawak,Sibu Prison,1575,1484,91,740,641,194,880,284,209,202
2020-08-31,Sarawak,Miri Prison,1726,1627,99,810,703,213,965,311,229,221
2020-08-31,Sarawak,Bintulu Prison,1592,1501,91,748,648,196,890,287,211,204
2020-08-31,Sarawak,Sri Aman Prison,1498,1412,86,703,610,185,837,270,198,193
2020-08-31,Sarawak,Limbang Prison,1347,1270,77,632,548,167,753,243,178,173
2020-08-31,Johor,Simpang Renggam Prison,4325,4077,248,2032,1762,531,2419,780,574,552
2020-08-31,Johor,Kluang Prison,3970,3743,227,1865,1617,488,2220,716,527,507
2020-08-31,Sabah,Kota Kinabalu Prison,1763,1662,101,828,718,217,986,318,234,225
2020-08-31,Sabah,Kota Kinabalu Women's Prison,1409,0,1409,662,574,173,788,254,187,180
2020-08-31,Sabah,Tawau Prison,1738,1638,100,816,708,214,972,313,230,223
2020-08-31,Sabah,Sandakan Prison,1311,1236,75,616,534,161,733,236,174,168
2020-08-31,Perak,Taiping Prison,2073,1954,119,974,844,255,1159,374,275,265
2020-08-31,Perak,Tapah Prison,1451,1368,83,681,591,179,811,261,192,187
2020-08-31,Perak,Kamunting Detention Centre,623,587,36,292,253,78,348,112,82,81
2020-08-31,Kedah,Pokok Sena Prison,1101,1038,63,517,448,136,615,198,146,142
2020-08-31,Kedah,Sungai Petani Prison,797,751,46,374,324,99,445,143,105,104
2020-08-31,Kedah,Alor Star Prison,1212,1142,70,569,493,150,677,218,160,157
2020-08-31,Pahang,Bentong Prison,1253,1181,72,588,510,155,700,226,166,161
2020-08-31,Pahang,Penor Prison,1339,1262,77,629,545,165,748,241,177,173
2020-08-31,Penang,Penang Prison,819,772,47,384,333,102,458,147,108,106
2020-08-31,Penang,Seberang Prai Prison,736,693,43,345,299,92,411,132,97,96
2020-08-31,Melaka,Ayer Keroh Prison,399,376,23,187,162,50,223,72,52,52
2020-08-31,Melaka,Sungai Udang Prison,342,322,20,160,139,43,191,61,45,45
2020-08-31,Melaka,Banda Hilir Prison,295,278,17,138,120,37,165,53,39,38
2020-08-31,Negeri Sembilan,Seremban Prison,382,360,22,179,155,48,213,68,50,51
2020-08-31,Negeri Sembilan,Jelebu Prison,395,372,23,185,160,50,220,71,52,52
2020-08-31,Kelantan,Pengkalan Chepa Prison,259,244,15,121,105,33,144,46,34,35
2020-08-31,Terengganu,Marang Prison,259,244,15,121,105,33,144,46,34,35
2020-09-30,Selangor,Sungai Buloh Prison,8538,7989,549,4169,3773,596,4889,1246,1413,990
2020-09-30,Selangor,Kajang Prison,3557,3328,229,1736,1571,250,2037,519,588,413
2020-09-30,Selangor,Kajang Women's Prison,2136,0,2136,1043,943,150,1223,311,353,249
2020-09-30,Sarawak,Puncak Borneo Prison,1266,1184,82,618,559,89,725,184,209,148
2020-09-30,Sarawak,Sibu Prison,1934,1809,125,944,854,136,1107,282,320,225
2020-09-30,Sarawak,Miri Prison,1116,1044,72,544,493,79,639,162,184,131
2020-09-30,Sarawak,Bintulu Prison,2350,2198,152,1147,1038,165,1345,343,389,273
2020-09-30,Sarawak,Sri Aman Prison,1362,1274,88,665,601,96,780,198,225,159
2020-09-30,Sarawak,Limbang Prison,1120,1047,73,546,494,80,641,163,185,131
2020-09-30,Johor,Simpang Renggam Prison,4168,3900,268,2035,1841,292,2387,608,689,484
2020-09-30,Johor,Kluang Prison,3964,3709,255,1935,1751,278,2270,578,656,460
2020-09-30,Sabah,Kota Kinabalu Prison,1299,1215,84,634,574,91,743,189,215,152
2020-09-30,Sabah,Kota Kinabalu Women's Prison,1360,0,1360,664,601,95,778,198,225,159
2020-09-30,Sabah,Tawau Prison,1364,1276,88,666,602,96,781,199,225,159
2020-09-30,Sabah,Sandakan Prison,2076,1942,134,1013,917,146,1188,303,343,242
2020-09-30,Perak,Taiping Prison,2033,1902,131,992,898,143,1164,296,336,237
2020-09-30,Perak,Tapah Prison,1423,1331,92,694,628,101,814,207,235,167
2020-09-30,Perak,Kamunting Detention Centre,610,570,40,297,269,44,349,89,100,72
2020-09-30,Kedah,Pokok Sena Prison,968,905,63,472,427,69,554,141,160,113
2020-09-30,Kedah,Sungai Petani Prison,1094,1023,71,534,483,77,626,159,181,128
2020-09-30,Kedah,Alor Star Prison,987,923,64,481,436,70,565,144,163,115
2020-09-30,Pahang,Bentong Prison,1275,1193,82,622,563,90,730,186,211,148
2020-09-30,Pahang,Penor Prison,1266,1184,82,618,559,89,725,184,209,148
2020-09-30,Penang,Penang Prison,721,674,47,352,318,51,412,105,119,85
2020-09-30,Penang,Seberang Prai Prison,803,751,52,392,354,57,459,117,132,95
2020-09-30,Melaka,Ayer Keroh Prison,299,279,20,146,132,21,171,43,49,36
2020-09-30,Melaka,Sungai Udang Prison,405,378,27,197,178,30,231,59,67,48
2020-09-30,Melaka,Banda Hilir Prison,312,291,21,152,137,23,178,45,51,38
2020-09-30,Negeri Sembilan,Seremban Prison,434,406,28,211,191,32,248,63,71,52
2020-09-30,Negeri Sembilan,Jelebu Prison,328,306,22,160,144,24,187,47,54,40
2020-09-30,Kelantan,Pengkalan Chepa Prison,254,237,17,124,112,18,145,37,42,30
2020-09-30,Terengganu,Marang Prison,254,237,17,124,112,18,145,37,42,30
2020-10-31,Selangor,Sungai Buloh Prison,8542,8016,526,4281,3625,636,4563,1149,1214,1616
2020-10-31,Selangor,Kajang Prison,3559,3340,219,1783,1510,266,1901,478,506,674
2020-10-31,Selangor,Kajang Women's Prison,2137,0,2137,1071,907,159,1141,287,303,406
2020-10-31,Sarawak,Puncak Borneo Prison,1216,1141,75,609,516,91,649,163,172,232
2020-10-31,Sarawak,Sibu Prison,1058,992,66,530,449,79,565,142,150,201
2020-10-31,Sarawak,Miri Prison,2039,1913,126,1021,865,153,1089,274,289,387
2020-10-31,Sarawak,Bintulu Prison,1053,988,65,527,446,80,562,141,149,201
2020-10-31,Sarawak,Sri Aman Prison,1711,1605,106,857,726,128,914,230,243,324
2020-10-31,Sarawak,Limbang Prison,2076,1948,128,1040,881,155,1109,279,295,393
2020-10-31,Johor,Simpang Renggam Prison,4249,3987,262,2129,1803,317,2269,571,604,805
2020-10-31,Johor,Kluang Prison,3887,3648,239,1948,1649,290,2076,523,552,736
2020-10-31,Sabah,Kota Kinabalu Prison,1493,1401,92,748,633,112,797,200,212,284
2020-10-31,Sabah,Kota Kinabalu Women's Prison,1105,0,1105,553,469,83,590,148,157,210
2020-10-31,Sabah,Tawau Prison,1527,1433,94,765,648,114,815,205,217,290
2020-10-31,Sabah,Sandakan Prison,1977,1855,122,990,839,148,1056,266,281,374
2020-10-31,Perak,Taiping Prison,2034,1908,126,1019,863,152,1086,273,289,386
2020-10-31,Perak,Tapah Prison,1423,1335,88,713,603,107,760,191,202,270
2020-10-31,Perak,Kamunting Detention Centre,611,573,38,306,259,46,326,82,86,117
2020-10-31,Kedah,Pokok Sena Prison,1068,1002,66,535,453,80,570,143,151,204
2020-10-31,Kedah,Sungai Petani Prison,1121,1052,69,561,475,85,598,150,159,214
2020-10-31,Kedah,Alor Star Prison,862,809,53,432,365,65,460,116,122,164
2020-10-31,Pahang,Bentong Prison,1263,1185,78,633,536,94,674,169,179,241
2020-10-31,Pahang,Penor Prison,1279,1200,79,641,542,96,683,172,181,243
2020-10-31,Penang,Penang Prison,790,741,49,395,335,60,422,106,112,150
2020-10-31,Penang,Seberang Prai Prison,735,689,46,368,311,56,392,98,104,141
